id_speaker;gender;turn_count;total_length;spk_class
1270;male;1;4.91399999999976;1
1501;male;1;25.610000000000014;1
3286;female;35;449.5549999999997;1
4176;male;2;1.8840000000000146;1
175;male;2;42.887999999999465;1
2482;male;1;2.1529999999999987;1
4407;male;3;16.251000000000033;1
3164;female;1;60.98299999999995;1
3510;female;2;1.2849999999999966;1
3547;male;2;28.797000000000025;1
4696;female;1;5.425999999999988;1
557;male;1;0.9300000000000015;1
1406;female;1;1.2480000000000047;1
1086;male;1;23.31999999999971;1
4197;male;14;110.61700000000019;1
2821;male;25;267.38899999999967;1
797;male;15;238.52300000000037;1
2685;female;10;139.7489999999998;1
3953;male;32;248.62800000000033;1
691;male;2;46.320000000000164;1
3969;female;1;4.5639999999999645;1
1023;male;1;5.8689999999999145;1
1286;male;1;56.81099999999998;1
717;male;1;8.88299999999981;1
3255;male;518;4565.446999999998;4
3345;male;24;250.8989999999988;1
4243;male;29;380.16399999999965;1
4086;female;1;3.581000000000131;1
2814;male;6;24.30499999999995;1
2330;male;1;3.8640000000000327;1
955;NA;1;22.889000000000124;1
1122;female;1;1.7989999999999782;1
1966;female;1;55.47200000000001;1
2516;female;1;4.775000000000034;1
2320;female;5;79.30900000000003;1
17;male;1;65.54999999999973;1
3956;male;1;1.913000000000011;1
1430;male;1;3.8840000000000146;1
3673;male;2;35.653999999999996;1
4615;male;3;9.02699999999993;1
2161;female;1;7.463999999999942;1
788;male;6;220.09799999999973;1
1306;male;1;21.258000000000038;1
2416;female;2;5.853;1
1176;female;1;0.8709999999998672;1
513;male;3;90.92699999999968;1
3800;male;4;136.35300000000007;1
3184;male;2;2.944999999999993;1
3670;male;15;138.22999999999968;1
2208;male;1;3.3660000000000423;1
1604;female;2;51.5649999999996;1
383;male;2;3.3129999999998745;1
4830;female;3;19.365999999999985;1
3003;male;55;496.256;1
3185;female;21;371.93100000000004;1
777;male;6;235.96900000000005;1
1259;female;1;4.986000000000104;1
571;male;2;2.8209999999999127;1
2102;male;5;301.274;1
3920;male;1;1.7019999999999982;1
3395;female;2;6.8659999999999854;1
4381;female;1;2.546999999999997;1
493;female;2;4.746999999999844;1
876;female;3;67.49900000000002;1
4292;male;7;38.04699999999991;1
115;female;1;46.399;1
1826;female;1;1.8240000000000691;1
327;male;2;105.40799999999945;1
2727;female;1;1.356999999999971;1
318;male;2;14.023999999999887;1
1810;female;2;61.37900000000036;1
3243;male;1;0.8100000000000023;1
3001;male;18;99.882;1
3431;female;4;4.4599999999999795;1
4942;male;1;9.413000000000011;1
995;male;11;562.1690000000002;1
4900;male;1;0.9500000000000455;1
2115;male;6;21.44500000000005;1
3541;male;10;57.126000000000204;1
4000;male;1;3.1420000000000528;1
629;NA;1;2.974999999999909;1
2758;male;6;114.08699999999999;1
3378;male;1;9.367999999999995;1
3151;male;4;20.9670000000001;1
1333;male;1;7.830999999999904;1
1877;male;6;180.2140000000004;1
1053;male;3;39.64400000000023;1
4135;male;8;40.66200000000043;1
3153;male;1;25.583000000000084;1
2337;male;1;23.534999999999968;1
941;female;1;10.101999999999862;1
268;male;1;105.57299999999998;1
4566;female;3;5.427999999999912;1
440;male;1;17.23299999999972;1
3610;female;1;4.880000000000109;1
2133;male;2;21.835999999999984;1
1525;female;1;3.6189999999999145;1
3352;male;1;29.915000000000077;1
3810;male;1;13.0;1
396;female;2;2.855000000000018;1
355;male;12;220.13500000000045;1
1168;female;2;1.9139999999999873;1
3782;male;2;6.169999999999845;1
154;female;2;9.418000000000006;1
3845;male;2;3.561999999999898;1
468;female;17;755.6390000000001;3
207;female;2;38.29100000000017;1
2276;female;3;43.134000000000015;1
4941;male;1;5.836000000000013;1
3553;male;5;22.743999999999915;1
2428;female;2;2.2489999999999872;1
1456;male;1;15.44900000000007;1
962;male;3;5.921999999999912;1
3961;male;7;17.726000000000198;1
3492;male;9;38.810999999999694;1
675;male;4;13.931999999999789;1
135;male;1;22.7349999999999;1
4867;male;1;0.7940000000000111;1
735;female;3;7.664000000000215;1
2774;male;81;170.3117673299995;2
34;male;1;11.061000000000035;1
861;female;1;29.819999999999993;1
4053;male;7;22.950000000000074;1
1350;male;1;26.65599999999995;1
2740;male;19;127.78099999999972;1
936;male;18;811.7639999999999;3
2781;male;2;26.203000000000003;1
1783;male;2;65.86000000000013;1
1080;male;1;17.829999999999927;1
1793;male;1;16.880999999999858;1
3907;male;1;0.9500000000000455;1
334;NA;11;37.14999999999981;1
3805;male;1;4.283000000000129;1
156;male;2;98.34199999999987;1
2026;male;7;372.827;1
2854;male;2;12.838999999999885;1
2857;female;2;10.372999999999706;1
3272;male;368;2886.660999999996;4
53;male;25;3124.062;3
4518;male;1;4.811000000000007;1
3596;male;4;2.3159999999999172;1
1229;male;2;52.03800000000001;1
2122;male;2;56.262;1
425;female;17;361.60599999999977;1
4417;female;2;2.848000000000013;1
3482;male;2;86.89999999999964;1
3604;male;20;228.54000000000042;1
4771;male;29;231.49299999999948;1
850;female;1;54.31999999999971;1
1273;male;1;2.6549999999997453;1
4082;male;2;4.109000000000151;1
285;male;1;36.565000000000026;1
4388;male;1;8.73399999999998;1
1754;male;1;20.924999999999955;1
2039;male;7;204.91099999999997;1
3335;male;7;72.12;1
436;male;3;229.47099999999998;1
2554;female;1;2.2450000000000045;1
39;male;20;427.99199999999814;1
680;male;5;219.66700000000037;1
1628;male;2;87.44999999999982;1
1613;female;3;9.180999999999955;1
501;female;2;79.64700000000008;1
471;male;1;7.371000000000095;1
693;female;2;56.128999999999905;1
42;male;1;186.02600000000007;1
300;male;28;1409.1819999999998;3
236;male;30;642.8360000000014;3
910;male;1;12.23700000000008;1
4459;female;1;3.575999999999965;1
4522;female;4;7.703000000000003;1
762;male;1;198.3789999999999;1
3868;female;1;0.5649999999999977;1
3501;male;4;31.743000000000393;1
1031;female;1;44.97800000000001;1
2924;female;1;198.07100000000037;1
4109;male;7;47.823999999999614;1
79;female;1;3.6970000000000027;1
3330;female;1;37.516000000000076;1
3804;male;9;141.1749999999995;1
